Post Office Name,Municipality,Address,Zip Code,Province,Building
MSU-MARAWI CITY,MSU-MARAWI CITY,MSU-MARAWI CITY,9700,Lanao Del Sur,
Saguiran,Saguiran,Saguiran,9701,Lanao Del Sur,
Piagapo,Piagapo,Piagapo,9710,Lanao Del Sur,
Kapai,Kapai,Kapai,9709,Lanao Del Sur,
Marantao,Marantao,Marantao,9711,Lanao Del Sur,
Tugaya,Tugaya,Tugaya,9317,Lanao Del Sur,
Bacolod Kalawi,Marantao,Marantao,9711,Lanao Del Sur,
Madamba,Madamba,Madamba,9314,Lanao Del Sur,
Bayang,Bayang,Bayang,9309,Lanao Del Sur,
Tuburan,Tuburan,Tuburan,9304,Lanao Del Sur,
Pualas,Pualas,Pualas,9313,Lanao Del Sur,
Madalum,Madalum,Madalum,9315,Lanao Del Sur,
Pagayawan,Pagayawan,Pagayawan,9312,Lanao Del Sur,
Balabagan,Balabagan,Balabagan,9302,Lanao Del Sur,
Calanogas,Calanogas,Calanogas,9319,Lanao Del Sur,
Lumbanague,Lumbanague,Lumbanague,9306,Lanao Del Sur,
Butig,Butig,Butig,9305,Lanao Del Sur,
Macador Andong,Macador Andong,Macador Andong,9308,Lanao Del Sur,
Lumbayabao,Lumbayabao,Lumbayabao,9703,Lanao Del Sur,
Poona-Bayabao,Poona-Bayabao,Poona-Bayabao,9705,Lanao Del Sur,
Masui,Masui,Masui,9706,Lanao Del Sur,
Maguing,Maguing,Maguing,9715,Lanao Del Sur,
Mulondo,Mulondo,Mulondo,9702,Lanao Del Sur,
Bubong,Bubong,Bubong,9708,Lanao Del Sur,
Buadipuso Buntong,Buadipuso Buntong,Buadipuso Buntong,9714,Lanao Del Sur,
Baganga,Baganga,"Municipal Hall Bldg.,Baganga, Davao Oriental",8204,Davao Oriental,Municipal Hall Bldg.
Banaybanay,Banaybanay,"Municipal Bldg.,Banaybanay, Davao Oriental",8208,Davao Oriental,Municipal Bldg.
Boston,Boston,"Municipal Bldg.,Boston, Davao Oriental",8206,Davao Oriental,Municipal Bldg.
Caraga,Caraga,"Municipal Hall Bldg., Caraga, Davao Oriental",8203,Davao Oriental,Municipal Hall Bldg.
Cateel,Cateel,"Municipal Bldg.,Cateel, Davao Oriental",8205,Davao Oriental,Municipal Bldg.
Gov. Generoso,Gov. Generoso,"Poblacion Gov. Generoso, Davao Oriental",8210,Davao Oriental,
Lupon,Lupon,"Poblacion Lupon, Davao Oriental",8207,Davao Oriental,
Manay,Manay,"Municipal Bldg.,Manay, Davao Oriental",8202,Davao Oriental,Municipal Bldg.
Mati City,Mati City,"Quezon St.,Mati, Davao Oriental",8200,Davao Oriental,Quezon St.
San Isidro,San Isidro,"Nat`l. Highway, San Isidro, Davao Oriental",8209,Davao Oriental,Nat`l. Highway
Tarragona,Tarragona,"Barrio Hall Blldg.,,Tarragona, Davao Oriental",8201,Davao Oriental,Barrio Hall Blldg.
Awang,Datu Odin Sinsuat,"Awang, Datu Odin Sinsuat, Maguindanao",0,Maguindanao,Awang
Cotabato City,Cotabato City,"Bonifacio St., Cotabato Citu",9600,Maguindanao,Bonifacio St.
Datu Piang,Datu Piang,"Poblacion Datu Piang, Maguindanao",9607,Maguindanao,
Dalican (DOS),Datu Odin Sinsuat,"Poblacion Datu Odin Sinsuat, Maguindanao",0,Maguindanao,
Kabuntalan,Kabuntalan,"Poblacion Kabuntalan, Maguindanao",9606,Maguindanao,
Kalamansig,Kalamansig,"Poblacion Kalamansig, Sultan Kudarat",9808,Maguindanao,Poblacion Kalamansig
Lebak,Lebak,"Poblacion Lebak, Sultan Kudarat",0,Maguindanao,Poblacion Lebak
Notre Dame University,Cotabato City,"NDU Campus, Cotabato City",9600,Maguindanao,NDU Campus
Pagalungan,Pagalungan,"Poblacion Pagalungan, Maguindanao",9610,Maguindanao,
Palimbang,Palimbang,"Poblacion Palimbang, Sultan Kudarat",9809,Maguindanao,Poblacion Palimbang
Parang,Parang,"Poblacion Parang, Maguindanao",7408,Maguindanao,
Shariff Aguak,Shariff Aguak,"Poblacion Shariff Aguak, Maguindanao",0,Maguindanao,
Shariff Kabunsuan (ORC),Cotabato City,"ORC Compound, Cotabato City",9600,Maguindanao,ORC Compound
Sultan Kudarat,Sultan Kudarat,"Poblacion Sultan Kudarat, Maguindanao",9605,Maguindanao,
Talayan,Talayan,"Poblacion Talayan, Maguindanao",9612,Maguindanao,
North Upi,North Upi,"Poblacion Upi, Maguindanao",9602,Maguindanao,Poblacion Upi
Malaybalay City,Malaybalay City,Malaybalay City,8700,Bukidnon,
BSU-Bukidnon,BSU-Bukidnon,BSU-Bukidnon,0,Bukidnon,
Busco,Busco,Busco,0,Bukidnon,
Cabanglasan,Cabanglasan,Cabanglasan,8723,Bukidnon,
Kibawi,Kibawi,Kibawi,8720,Bukidnon,
Kitaotao,Kitaotao,Kitaotao,8716,Bukidnon,
Dangcagan,Dangcagan,Dangcagan,8719,Bukidnon,
Don Carlos,Don Carlos,Don Carlos,8712,Bukidnon,
Kadingilan,Kadingilan,Kadingilan,8713,Bukidnon,
Impasug-ong,Impasug-ong,Impasug-ong,8702,Bukidnon,
Libona,Libona,Libona,8706,Bukidnon,
Manolo Fortich,Manolo Fortich,Manolo Fortich,8703,Bukidnon,
Maramag,Maramag,Maramag,8714,Bukidnon,
Phillips,Phillips,Phillips,8705,Bukidnon,
Quezon,Quezon,Quezon,8715,Bukidnon,
San Fernando,San Fernando,San Fernando,8711,Bukidnon,
Sumilao,Sumilao,Sumilao,8701,Bukidnon,
Valencia City,Valencia City,Valencia City,8709,Bukidnon,
Wao,Wao,Wao,9716,Bukidnon,
Ayala,Zamboanga City,"Ayala, Zamboanga City",7000,Metro Zamboanga,Ayala
Labuan (ext Ayala),Zamboanga City,"Labuan, Zamboanga City",7000,Metro Zamboanga,Labuan
Culianan (ext Manicahan),Zamboanga City,"Culianan, Zambo. City",7000,Metro Zamboanga,Culianan
GSIS,Zamboanga City,,7000,Metro Zamboanga,
Manicahan,Zamboanga City,,7000,Metro Zamboanga,
Veterans,Zamboanga City,"Veterans Ave., Zambo. City",7000,Metro Zamboanga,Veterans Ave.
Vitali,Zamboanga City,"Vitali, Zambo. City",7000,Metro Zamboanga,Vitali
ZIAPO,Zamboanga City,"Gov. Camins, Zambo City",7000,Metro Zamboanga,Gov. Camins
Zamboanga City,Zamboanga City,"Corcuerra Street, Zambo. City",7000,Metro Zamboanga,Corcuerra Street
Sta Maria,Zamboanga City,"Sta. Maria, Zamboa. City",7000,Metro Zamboanga,Sta. Maria
Aurora,Aurora,"Aurora, ZDS",7020,Zamboanga Del Sur,Aurora
Bayog,Bayog,"Bayog, ZDS",7011,Zamboanga Del Sur,Bayog
Dumalinao,Dumalinao,"Dumalinao, ZDS",7015,Zamboanga Del Sur,Dumalinao
Pagadian City,Pagadian City,"Datoc St., Pagadian City",7016,Zamboanga Del Sur,Datoc St.
Labangan,Labangan,"Labangan, ZDS",7017,Zamboanga Del Sur,Labangan
Molave,Molave,"Molave, Zambo. del Sur",7023,Zamboanga Del Sur,Molave
R. Magsaysay,R. Magsaysay,"Ra. Magsaysay, ZDS",7024,Zamboanga Del Sur,Ra. Magsaysay
Dinas,Dinas,"Dinas, Zambo. del Sur",7030,Zamboanga Del Sur,Dinas
Margosatubig,Margosatubig,"Margosatubig, ZDS",7035,Zamboanga Del Sur,Margosatubig
San Miguel,San Miguel,"San Miguel, Zambo. del Sur",7029,Zamboanga Del Sur,San Miguel
Gingoog City,Gingoog City,"Lugod St., Gingoog City",9014,"Central, Eastern Misamis/ Oriental and Camiguin",Lugod St.
Balingasag,Balingasag,"Balingasag, Misamis Oriental",9005,"Central, Eastern Misamis/ Oriental and Camiguin",Balingasag
Claveria,Claveria,"Claveria, Misamis Oriental",9004,"Central, Eastern Misamis/ Oriental and Camiguin",Claveria
Jasaan,Jasaan,"Jasaan, Misamis Oriental",9003,"Central, Eastern Misamis/ Oriental and Camiguin",Jasaan
Lagonglong,Lagonglong,,9006,"Central, Eastern Misamis/ Oriental and Camiguin",
Magsaysay,Magsaysay,"Magsaysay, Misamis Oriental",9015,"Central, Eastern Misamis/ Oriental and Camiguin",Magsaysay
Medina,Medina,"Medina, Misamis Oriental",9013,"Central, Eastern Misamis/ Oriental and Camiguin",Medina
Sugbongcogon,Sugbongcogon,Sugbongcogon,9009,"Central, Eastern Misamis/ Oriental and Camiguin",
Tagoloan,Tagoloan,Tagoloan,9001,"Central, Eastern Misamis/ Oriental and Camiguin",
Talisayan,Talisayan,Talisayan,9012,"Central, Eastern Misamis/ Oriental and Camiguin",
Salay,Salay,Salay,9007,"Central, Eastern Misamis/ Oriental and Camiguin",
Villanueva,Villanueva,Villanueva,9002,"Central, Eastern Misamis/ Oriental and Camiguin",
Catarman,Catarman,Catarman,9104,"Central, Eastern Misamis/ Oriental and Camiguin",
. Guinsiliban,. Guinsiliban,. Guinsiliban,9102,"Central, Eastern Misamis/ Oriental and Camiguin",
Mahinog,Mahinog,Mahinog,9101,"Central, Eastern Misamis/ Oriental and Camiguin",
Mambajao,Mambajao,Mambajao,9100,"Central, Eastern Misamis/ Oriental and Camiguin",
Sagay,Sagay,Sagay,9103,"Central, Eastern Misamis/ Oriental and Camiguin",
Balingoan,Balingoan,Balingoan,0,"Central, Eastern Misamis/ Oriental and Camiguin",
MSU-IIT,MSU-IIT,MSU-IIT,0,"Central, Eastern Misamis/ Oriental and Camiguin",
Binuangan,Binuangan,Binuangan,9008,"Central, Eastern Misamis/ Oriental and Camiguin",
Kinoguitan,Kinoguitan,Kinoguitan,9010,"Central, Eastern Misamis/ Oriental and Camiguin",
Alabel,Alabel,"Municipal Bldg.,Alabel, Sarangani Province",9501,GSC-Saranggani,Municipal Bldg.
Banate,Malungon,"Brgy. Hall, Banate, Malungon, Sarangani Province",9503,GSC-Saranggani,Brgy. Hall
Dole Cannery,Polomolok,"Dole Cannery, Polomolok, South Cotabato",9504,GSC-Saranggani,Dole Cannery
Gaisano Mall,General Santos City,"Gaisano Mall Bldg., J. Catolico Avenue, General Santos City",9500,GSC-Saranggani,Gaisano Mall Bldg.
General Santos City,General Santos City,"Roxas St., Gen. Santos City, South Cotabato",9500,GSC-Saranggani,Roxas St.
Glan,Glan,"Poblacion Glan, Sarangani Province",9517,GSC-Saranggani,Poblacion Glan
KCC MALL,General Santos City,"KCC Mall Bldg., J. Catolico Avenue, General Santos City",9500,GSC-Saranggani,KCC Mall Bldg.
Kiamba,Kiamba,"Municipal Bldg.,Kiamba, Sarangani Province",9514,GSC-Saranggani,Municipal Bldg.
Maasim,Maasim,"Municipal Bldg.,Maasim, Sarangani Province",9502,GSC-Saranggani,Municipal Bldg.
Maitum,Maitum,"Public Market, Maitum, Sarangani Province",9515,GSC-Saranggani,Public Market
Malapatan,Malapatan,"Municipal Bldg.,Malapatan, Sarangani Province",9516,GSC-Saranggani,Municipal Bldg.
Malungon,Malungon,"Municipal Bldg.,Malungon, Sarangani Province",9503,GSC-Saranggani,Municipal Bldg.
M S U,General Santos City,"Mindanao State Univ., Tambler, GSC, South Cotabato",9500,GSC-Saranggani,Mindanao State Univ.
Polomolok,Polomolok,"Municipal Bldg.,Polomolok, South Cotabato",9504,GSC-Saranggani,Municipal Bldg.
Aloran,Aloran,"Aloran, Mis. Occidental",7206,Misamis Occidental,Aloran
Calamba,Calamba,,7210,Misamis Occidental,
Sapang Dalaga,Sapang Dalaga,"Sapang Dalaga, Mis. Occ.",7212,Misamis Occidental,Sapang Dalaga
Tangub City,Tangub City,"Tangub City,Mis. Occ.",7204,Misamis Occidental,Tangub City
Bonifacio,Bonifacio,"Bonifacio, Mis. Occ.",7215,Misamis Occidental,Bonifacio
Tudela,Tudela,"Tuleda,Mis. Occ.",7202,Misamis Occidental,Tuleda
Clarin,Clarin,"Clarin, Mis. Occidental",7201,Misamis Occidental,Clarin
Jimenez,Jimenez,"Jimenez, Mis. Occidental",7204,Misamis Occidental,Jimenez
Sinacaban,Sinacaban,"Sinacaban, Mis. Occ.",7203,Misamis Occidental,Sinacaban
Plaridel,Plaridel,"Plaridel, Mis. Occidental",7209,Misamis Occidental,Plaridel
Lopez Jaena,Lopez Jaena,"Lopez Jaena, Mis. Occ.",7208,Misamis Occidental,Lopez Jaena
Mis. University,Misamis,"Mis. University,Mis. Occ.",0,Misamis Occidental,Mis. University
Oroquieta,Oroquieta,"Oroquieta,Mis. Occ.",7207,Misamis Occidental,Oroquieta
Ozamis City,Ozamis City,"Ozamis City, Mis. Occ.",7200,Misamis Occidental,Ozamis City
Bansalan,Bansalan,"Municipal Hall Bldg.,Bansalan, Davao del Sur",8005,Davao Del Sur,Municipal Hall Bldg.
Digos City,Digos City,"Cor. Estrada St., Digos City, Davao del Sur",8002,Davao Del Sur,Cor. Estrada St.
Don Marcelino,Don Marcelino,"Public Market, Don Marcelino, Davao del Sur",8013,Davao Del Sur,Public Market
Hagonoy,Hagonoy,"Municiapl Hall Bldg.,Hagonoy, Davao del sur",8006,Davao Del Sur,Municiapl Hall Bldg.
Jose Abad Santos,Jose Abad Santos,"Municipal Hall Bldg.,Jose Abad Santos, Davao del Sur",8014,Davao Del Sur,Municipal Hall Bldg.
Kiblawan,Kiblawan,"Municipal Hall Bldg.,Kiblawan, Davao del Sur",8008,Davao Del Sur,Municipal Hall Bldg.
Magsaysay,Magsaysay,"Municipal Hall Bldg.,Magsaysay, Davao del Sur",8004,Davao Del Sur,Municipal Hall Bldg.
Malalag,Malalag,"Municipal Hall Bldg., Malalag, Davao del Sur",8010,Davao Del Sur,Municipal Hall Bldg.
Malita,Malita,"Peralta St., Malita, Davao del Sur",8012,Davao Del Sur,Peralta St.
Matanao,Matanao,"Municipal Hall Bldg.,Matanao, Davao del Sur",8003,Davao Del Sur,Municipal Hall Bldg.
Padada,Padada,"Municipal Hall Bldg.,Padada, Davao del Sur",8007,Davao Del Sur,Municipal Hall Bldg.
Sta. Cruz,Sta. Cruz,"Municipal Hall Bldg.,Sta. Cruz, Davao del Sur",8001,Davao Del Sur,Municipal Hall Bldg.
Sta. Maria,Sta. Maria,"Municipal Hall Bldg.,Sta. Maria, Davao del Sur",8011,Davao Del Sur,Municipal Hall Bldg.
Sulop,Sulop,"Municipal Hall Bldg.,Sulop, Davao del Sur",8009,Davao Del Sur,Municipal Hall Bldg.
Dapitan,Dapitan,"Dapitan, ZDN",7101,Zamboanga Del Norte,Dapitan
Dipolog City,Dipolog City,"Dipolog City, ZDN",7100,Zamboanga Del Norte,Dipolog City
Dipolog City Hall,Dipolog City,"Dipolog City, ZDN",7100,Zamboanga Del Norte,Dipolog City
Jose Dalman,Jose Dalman,,7111,Zamboanga Del Norte,
Katipunan,Katipunan,"Katipunan, ZDN",7109,Zamboanga Del Norte,Katipunan
Manukan,Manukan,"Manukan, ZDN",7110,Zamboanga Del Norte,Manukan
Piñan,Piñan,"Piñan, ZDN",7105,Zamboanga Del Norte,Piñan
Polanco,Polanco,"Polanco, ZDN",7106,Zamboanga Del Norte,Polanco
Rizal,Rizal,"Rizal, ZDN",7104,Zamboanga Del Norte,Rizal
Roxas,Roxas,"Roxas, ZDN",7102,Zamboanga Del Norte,Roxas
Labason,Labason,"Labason, ZDN",7117,Zamboanga Del Norte,Labason
Liloy,Liloy,"Liloy, ZDN",7115,Zamboanga Del Norte,Liloy
Salug,Salug,"Salug, ZDN",7114,Zamboanga Del Norte,Salug
Sindangan,Sindangan,"Sindangan, ZDN",7112,Zamboanga Del Norte,Sindangan
Sibuco,Zamboanga City,"Sibuco, Zamboanga City",7122,Zamboanga Del Norte,Sibuco
Siocon,Siocon,,7120,Zamboanga Del Norte,
San Francisco,San Francisco,San Francisco,8501,Agusan Del Sur,
Bunawan,Bunawan,Bunawan,8506,Agusan Del Sur,
Bayugan City,Bayugan City,Bayugan City,8502,Agusan Del Sur,
Prosperidad,Prosperidad,Prosperidad,8500,Agusan Del Sur,
Trento,Trento,Trento,8505,Agusan Del Sur,
Sibagat,Sibagat,Sibagat,8503,Agusan Del Sur,
Esperanza,Esperanza,Esperanza,8513,Agusan Del Sur,
Santa Josefa,Santa Josefa,Santa Josefa,8512,Agusan Del Sur,
Vereula,Vereula,Vereula,8509,Agusan Del Sur,
Loreto,Loreto,Loreto,8507,Agusan Del Sur,
Alubijid,Alubijid,Alubijid,0,Western Misamis Oriental,
El Salvador City,El Salvador City,El Salvador City,9017,Western Misamis Oriental,
Initao,Initao,Initao,9022,Western Misamis Oriental,
Laguindingan,Laguindingan,Laguindingan,9019,Western Misamis Oriental,
Libertad,Libertad,Libertad,9021,Western Misamis Oriental,
Lugait,Lugait,Lugait,9025,Western Misamis Oriental,
Manticao,Manticao,Manticao,9024,Western Misamis Oriental,
Naawan,Naawan,Naawan,9023,Western Misamis Oriental,
Opol,Opol,Opol,9016,Western Misamis Oriental,
Iligan City,Iligan City,Iligan City,9200,Lanao Del Norte,
Baloi,Baloi,Baloi,9217,Lanao Del Norte,
Pantar,Pantar,Pantar,9218,Lanao Del Norte,
Pantao Ragat,Pantao Ragat,Pantao Ragat,9208,Lanao Del Norte,
Baroy,Baroy,Baroy,9210,Lanao Del Norte,
Kapatagan,Kapatagan,Kapatagan,9214,Lanao Del Norte,
Kauswagan,Kauswagan,Kauswagan,9202,Lanao Del Norte,
Maigo,Maigo,Maigo,9216,Lanao Del Norte,
Maranding,Maranding,Maranding,0,Lanao Del Norte,
Lala,Lala,Lala,9211,Lanao Del Norte,
Salvador,Salvador,Salvador,9212,Lanao Del Norte,
Jolo,Jolo,"Jolo, Sulu Prov.",7400,Sulu,
MSU-SDTC,MSU-SDTC,,0,Sulu,
Pangutaran,Pangutaran,"Pangutaran, Sulu Prov.",7414,Sulu,
Patikul,Patikul,,7401,Sulu,
Siasi,Siasi,"Siasi, Sulu Prov.",7412,Sulu,
Tongkil,Tongkil,,7406,Sulu,
Bongao,Bongao,,7500,Sulu,
Cagayan de Tawi-tawi,Cagayan de Tawi-tawi,,0,Sulu,
Sitangkai,Sitangkai,,7506,Sulu,
Alamada,Alamada,"Poblacion Alamada, Cotabato",9413,North Cotabato,
Antipas,Antipas,"Poblacion Antipas, Cotabato",9414,North Cotabato,
Banisilan,Banisilan,"Poblacion Banisilan, Cotabato",9416,North Cotabato,
Aleosan,Aleosan,"Poblacion Aleosan, Cotabato",9415,North Cotabato,
Carmen,Carmen,"Poblacion Carmen, Cotabato",9408,North Cotabato,
Kabacan,Kabacan,"Poblacion Kabacan, Cotabato",9407,North Cotabato,
Kidapawan City,Kidapawan City,Poblacion Kidapawan City,9400,North Cotabato,
Libungan,Libungan,"Poblacion Libungan, Cotabato",9411,North Cotabato,
Magpet,Magpet,"Poblacion Magpet, Cotabato",9404,North Cotabato,
Makilala,Makilala,"Poblacion Makilala, Cotabato",9401,North Cotabato,
Matalam,Matalam,"Poblacion Matalam, Cotabato",9406,North Cotabato,
Midsayap,Midsayap,"Poblacion Midsayap, Cotabato",9410,North Cotabato,
M'lang,M'lang,"Poblacion Mlang, Cotabato",9402,North Cotabato,Poblacion Mlang
Pigkawayan,Pigkawayan,"Poblacion Pigkawayan, Cotabato",9401,North Cotabato,
Pikit,Pikit,"Poblacion Pikit, Cotabato",9409,North Cotabato,
President Roxas,President Roxas,"Poblacion President Roxas, Cotabato",9405,North Cotabato,
Tulunan,Tulunan,"Poblacion Tulunan, Cotabato",9403,North Cotabato,
Banga,Banga,"Municipal Bldg.,Banga, South Cotabato",9511,South Cotabato,Municipal Bldg.
Koronadal City,Koronadal City,"Bonifacio St., Koronadal, South Cotabato",9506,South Cotabato,Bonifacio St.
Lake Sebu,Lake Sebu,"Municipal Bldg.,Lake Sebu, South Cotabato",0,South Cotabato,Municipal Bldg.
Norala,Norala,"Municipal Bldg.,Norala, South Cotabato",9508,South Cotabato,Municipal Bldg.
Sto. Niño,Sto. Niño,"Municipal Bldg.,Sto. Niño, South Cotabato",9509,South Cotabato,Municipal Bldg.
Surallah,Surallah,"Municipal Bldg.,Surallah, South Cotabato",9512,South Cotabato,Municipal Bldg.
Tampakan,Tampakan,"Municipal Bldg.,Tampakan, South Cotabato",9507,South Cotabato,Municipal Bldg.
Tantangan,Tantangan,"Municipal Bldg.,Tantangan, South Cotabato",9510,South Cotabato,Municipal Bldg.
T'boli,T'boli,"Municipal Bldg.,T`boli, South Cotabato",9513,South Cotabato,Municipal Bldg.
Tupi,Tupi,"Municipal Bldg.,Tupi, South Cotabato",9505,South Cotabato,Municipal Bldg.
Ateneo,Davao City,"ADDU Gym, Jacinto St., DC",8000,Metro Davao,ADDU Gym
